Odometry_Theta (abs),Integrated_Theta (abs),Difference (°),Sampling_Rate
0.3201945944657482,0.3268714727311002,0.38255694492729747,
0.3201945944657482,0.3295488347292964,0.5359584876526545,
0.3273145085331507,0.33222619672749265,0.28141900382002616,
0.3273145085331507,0.3349035587256889,0.43482054654538327,
0.3273145085331507,0.33761130015669155,0.58996270255455,
0.3273145085331507,0.3403190415876942,0.7451048585637166,
0.3273145085331507,0.34302600405888134,0.9002023834630425,
0.3422140864449129,0.34573296653006846,0.20161697749204882,
0.3422140864449129,0.3484399290012556,0.35671450239137475,
0.3422140864449129,0.3511289753966851,0.5107855117643519,
0.3494091615927129,0.3538180217921146,0.2526090818889226,
0.3494091615927129,0.3565070681875441,0.40668009126189975,
0.3494091615927129,0.35916729306979817,0.5590997495707456,
0.35693065975925,0.36182751795205226,0.2805693073216301,
